CODEACTE;CODEACTE_LABEL
SCR1;Forfait réduit scanner neuro UF 2551
SCR12;Forf réduit seuil 2 scan neuro UF 2551
SCR1L;Forfait réduit scanner neuro UF 2551 lib
SCR2;Forfait réduit scanner neuro UF 2516
SCR23;Forf réduit seuil 3 scan neuro UF 2516
SCR3;Forfait réd scanner Philips BG UF 2520
SCR33;Forfait réd seuil 3 scan Phil BG UF 2520
SCR3L;Forfait réd scan lib PHILIPS BG UF 2520
SCR4;Forfait réduit scanner urgence UF 2541
SCR42;Forf réduit seuil 2 scan urgence UF 2541
SCR43;Forf réduit seuil 3 scan urgence UF 2541
SCR5;Forfait réduit scanner St-Julien UF 2592
SCR52;Forf réduit seuil 2 scan St-Julien-2592
SCR53;Forf réduit seuil 3 scan St-julien-2592
SDE;SOINS DENTAIRES
SE1;Forfait Securite et Envment Hospit. SE1
SE2;Forfait Securite et Envment Hospit. SE2
SE3;Forfait Securite et Envment Hospit. SE3
SE5;Forfait Securite et Envment Hospit. SE5
SE6;Forfait Securite et Envment Hospit. SE6
SF;Acte obstétrical par sage-femme
SFI;Soins infirmiers par sage-femme
SP;Séances suivi post natal
SPR;Acte de prothèse dentaire par dentiste
SU1;Suppl prothèse métallique RAC modéré
TB;Prélèvement sanguin par technicien labo
TDS;PARODONTOLOGIE ACTES TISSUS SOUTIEN DENT
TE1;TELE EXPERTISE NIVEAU 1
TE2;TELE EXPERTISE NIVEAU 2
TLCG;TELECONSULTATION MEDECIN GENERALISTE
TLCP;TELECONSULTATION NEUROPSY NEURO PSYCHIA
TLCS;TELECONSULTATION MEDECIN SPECIALISE
TLE;TELE EXPERTISE
TO;Orthodontie par chirurgien-dentiste
TSI1;TELESURVEILLANCE INCLUSION ICC
TSI7;TELESURVEILLANCE INCLUSION PROTH CARD
TSM7;TELESURVEILLANCE PORTEUR PROTHESE CARD
TSS7;TELESURVEILLANCE SORTIE PROTH CARD
VAC;Vaccination grippe A H1N1
VDE;VIDEOCAPSULE
Z1;Acte radiologie par électroradiologiste
Z1RES;Z1 Résiduel
Z3;Acte radiologie par omnipraticien
Z3RES;Z3 Résiduel
ZM;Mammographie dépistage Réseau EMMA
