TYPEANA;TYPEANA_LABEL
AAMSP.AAMSPVAL;Valine
AAMSU.AAMSUAADC;L-Alpha aminoadipic acid
AAMSU.AAMSUAAD;L-Alpha-aminoadipic acid
AAMSU.AAMSUAILE;Allo-Isoleucine
AAMSU.AAMSUAILEC;Allo-Isoleucine
AAMSU.AAMSUALA;Alanine
AAMSU.AAMSUALAC;Alanine  
AAMSU.AAMSUARG;Arginine
AAMSU.AAMSUARGC;Arginine  
AAMSU.AAMSUASA;Arginosuccinate
AAMSU.AAMSUASAC;Arginosuccinate
AAMSU.AAMSUASN;Asparagine
AAMSU.AAMSUASNC;Asparagine
AAMSU.AAMSUASP;Acide aspartique
AAMSU.AAMSUASPC;Acide aspartique 
AAMSU.AAMSUASPG;AspartylGlucosamine
AAMSU.AAMSUASPGC;AspartylGlucosamine
AAMSU.AAMSUBALA;Béta-Alanine
AAMSU.AAMSUBALAC;Béta Alanine
AAMSU.AAMSUCITC;Citrulline 
AAMSU.AAMSUCIT;Citrulline
AAMSU.AAMSUCOMC;Commentaire
AAMSU.AAMSUCOM;Commentaire
AAMSU.AAMSUCR;Créatinine urinaire
AAMSU.AAMSUCTHC;Cystathionine
AAMSU.AAMSUCTH;Cystathionine
AAMSU.AAMSUCYSC;Cystine  
AAMSU.AAMSUCYS;Cystine
AAMSU.AAMSUGABAC;GABA
AAMSU.AAMSUGABA;GABA
AAMSU.AAMSUGLNC;Glutamine  
AAMSU.AAMSUGLN;Glutamine
AAMSU.AAMSUGLU;Acide glutamique
AAMSU.AAMSUGLUC;Acide glutamique 
AAMSU.AAMSUGLYC;Glycine
AAMSU.AAMSUGLY;Glycine
AAMSU.AAMSUHCIC;Homocitrulline
AAMSU.AAMSUHCI;Homocitrulline
AAMSU.AAMSUHCYC;Homocystine
AAMSU.AAMSUHCY;Homocystine
AAMSU.AAMSUHISC;Histidine 
AAMSU.AAMSUHIS;Histidine
AAMSU.AAMSUHYLC;Hydroxylysine
AAMSU.AAMSUHYL;Hydroxylysine
AAMSU.AAMSUHYPC;Hydroxy-L-Proline
AAMSU.AAMSUHYP;Hydroxy-L-Proline
AAMSU.AAMSUILEC;Isoleucine  
AAMSU.AAMSUILE;Isoleucine
AAMSU.AAMSULEUC;Leucine 
AAMSU.AAMSULEU;Leucine
AAMSU.AAMSULYSC;Lysine  
AAMSU.AAMSULYS;Lysine
AAMSU.AAMSUMETC;Méthionine 
AAMSU.AAMSUMET;Méthionine
AAMSU.AAMSUORNC;Ornithine  
AAMSU.AAMSUORN;Ornithine
AAMSU.AAMSUPETNC;O-PhosphoEthanolamine
AAMSU.AAMSUPETN;O-Phosphoethanolamine
AAMSU.AAMSUPHEC;Phénylalanine  
AAMSU.AAMSUPHE;Phénylalanine
AAMSU.AAMSUPROC;Proline  
AAMSU.AAMSUPRO;Proline
AAMSU.AAMSUPSERC;O-Phospho-L-Sérine
AAMSU.AAMSUPSER;O-Phospho-L-Sérine
AAMSU.AAMSUSARC;Sarcosine
AAMSU.AAMSUSAR;Sarcosine
AAMSU.AAMSUSERC;Sérine 
AAMSU.AAMSUSER;Sérine
AAMSU.AAMSUSULFOC;Sulfocystéine
AAMSU.AAMSUSULFO;Sulfocystéine
AAMSU.AAMSUTAUC;Taurine  
AAMSU.AAMSUTAUR;Taurine
AAMSU.AAMSUTHRC;Thréonine 
AAMSU.AAMSUTHR;Thréonine
AAMSU.AAMSUTRPC;Tryptophane
AAMSU.AAMSUTRP;Tryptophane
AAMSU.AAMSUTYRC;Tyrosine 
AAMSU.AAMSUTYR;Tyrosine
AAMSU.AAMSUUNITE;Unité
AAMSU.AAMSUVALC;Valine 
AAMSU.AAMSUVAL;Valine
AAMSU.AAMSUVOL;Volume des urines de 24h
AAT.AAT;Alpha1Antitrypsine
AAT.AATR2;Alpha1Antitrypsine
AAU.AAUALA;Alanine
AAU.AAUALAC;Alanine  
AAU.AAUARG;Arginine
AAU.AAUARGC;Arginine  
AAU.AAUASP;Acide aspartique
AAU.AAUASPC;Acide aspartique 
AAU.AAUCITC;Citrulline 
AAU.AAUCIT;Citrulline
AAU.AAUCOMC;Commentaire
AAU.AAUCOM;Commentaire
AAU.AAUCR;Créatinine urinaire
AAU.AAUCYSC;Cystine  
AAU.AAUCYS;Cystine
AAU.AAUGLNC;Glutamine  
AAU.AAUGLN;Glutamine
AAU.AAUGLU;Acide glutamique
AAU.AAUGLUC;Acide glutamique 
AAU.AAUGLYC;Glycocolle  
AAU.AAUGLY;Glycocolle
AAU.AAUHISC;Histidine 
AAU.AAUHIS;Histidine
AAU.AAUILEC;Isoleucine  
AAU.AAUILE;Isoleucine
AAU.AAULEUC;Leucine 
AAU.AAULEU;Leucine
AAU.AAULYSC;Lysine  
AAU.AAULYS;Lysine
AAU.AAUMETC;Méthionine 
AAU.AAUMET;Méthionine
AAU.AAUORNC;Ornithine  
AAU.AAUORN;Ornithine
AAU.AAUPHEC;Phénylalanine  
AAU.AAUPHE;Phénylalanine
AAU.AAUPROC;Proline  
AAU.AAUPRO;Proline
AAU.AAUSERC;Sérine 
AAU.AAUSER;Sérine
AAU.AAUTAUC;Taurine  
AAU.AAUTAUR;Taurine
AAU.AAUTAU;Taurine
AAU.AAUTHRC;Thréonine 
AAU.AAUTHR;Thréonine
AAU.AAUTYRC;Tyrosine 
AAU.AAUTYR;Tyrosine
AAU.AAUUNITE;Unité
AAU.AAUVALC;Valine 
AAU.AAUVAL;Valine
AAU.AAUVOL;Volume des urines de 24h
