CODEACTE;CODEACTE_LABEL
ANM+093;SÉANCE RESTAUR / ÉDUCATION ANALYTIQUE D'1 FCTN SENSIT &/ MOT MBRE SUP PAR RÉALIS D'1 TÉCHE ÉLÉM
ANM+201;SÉANCE RESTAUR, DVPMT & COMPENS APRAXIES GESTUELLES PAR RÉALIS PLSRS TÉCHES ÉLÉM COMB & COORD
ANQ+012;ÉVAL FINALE FONCTIONS SENSITIVES &/ MOTRICES MEMBRES INFÉRIEURS
ANQ+029;ÉVAL FINALE TROUBLES SENSORIELS, D'ORIGINE NEUROLOGIQUE CENTRALE / PÉRIPHÉRIQUE
ANQ+067;ÉVAL INITIALE FONCTIONS PSYCHOMOTRICES
ANQ+095;ÉVAL FINALE FONCTIONS PSYCHOMOTRICES
ANQ+105;ÉVAL INTERMÉDIAIRE FONCTIONS PSYCHOMOTRICES
ANQ+111;ÉVAL INITIALE FONCTIONS SENSITIVES &/ MOTRICES MEMBRES INFÉRIEURS,
ANQ+126;ÉVAL SENSIBILITÉ PEAU & ARTICULATIONS D'1 PATIENT DOULOUREUX
ANQ+134;ÉVAL INTERMÉD / ÉVAL CIBLÉE SUR 1 FCTN, FCTNS SENSIT &/ MOT MBRES INF
ANQ+149;ÉVAL INITIALE FONCTIONS SENSITIVES &/ MOTRICES MEMBRES SUPÉRIEURS, SANS BATTERIE TEST
ANQ+171;ÉVAL INITIALE FONCTIONS SENSITIVES &/ MOTRICES MEMBRES SUPÉRIEURS, + BATTERIE TESTS
ANQ+173;ÉVAL SENSIBILITÉ PEAU & ARTICULATIONS D'1 PATIENT INDOLORE
ANQ+174;ÉVAL FINALE FONCTIONS SENSITIVES &/ MOTRICES SANS BATTERIE TESTS
ANQ+179;HÉTÉRO-ÉVAL DOULEUR D'1 PATIENT SANS COMMUNICATION VERBALE FIABLE
ANQ+183;ÉVAL INITIALE FONCTIONS SENSITIVES &/ MOTRICES TÊTE &/ TRONC
ANQ+208;ÉVAL INTERMÉD / ÉVAL CIBLÉE SUR 1 FCTN, FCTNS SENSIT &/ MOT MBRES SUP, SANS BATTERIE TESTS
ANQ+217;ÉVAL INTERMÉD / ÉVAL CIBLÉE SUR 1 FCTN, FCTNS SENSIT &/ MOT TÊTE &/ TRONC
ANQ+218;ÉVAL FINALE FONCTIONS SENSITIVES &/ MOTRICES MEMBRES SUPÉRIEURS, + BATTERIE TEST
ANQ+234;ÉVAL INTERMÉD / ÉVAL CIBLÉE SUR 1 FCTN, FCTNS SENSIT &/ MOT MBRES SUP, + BATTERIE TESTS
ANQ+282;ÉVAL FINALE FONCTIONS SENSITIVES &/ MOTRICES TÊTE &/ TRONC
ANQ+411;ÉVAL INTERMÉDIAIRE TROUBLES SENSORIELS, D'ORIGINE NEUROLOGIQUE CENTRALE / PÉRIPHÉRIQUE
ANQ+462;ÉVAL INITIALE TROUBLES SENSORIELS, D'ORIGINE NEUROLOGIQUE CENTRALE / PÉRIPHÉRIQUE
ANR+032;SÉANCE RÉÉDUC PSYCHOMOTRICE TROUBLES COORDINATION MOTRICE
ANR+036;SÉANCE RÉÉDUC Ã€ VISÉE ANTALGIQUE APRÉS THORACOTOMIE PAR MASSAGE &/ AGENTS PHYSIQUES
ANR+089;SÉANCE RÉÉDUC PSYCHOMOTRICE DYSPRAXIES VISUOSPATIALE & VISUOMOTRICE
ANR+094;SÉANCE COLLECTIVE RÉADAPT &/ CONSERVATION COORDINATION PAR ACTIVITÉS PHYSIQUES &/ SPORTIVES
ANR+128;SÉANCE RÉÉDUC TROUBLES GRAPHOMOTRICITÉ
ANR+153;SÉANCE COLLECTIVE RÉADAPT &/ CONSERVATION PROPRIOCEPTION PAR ACTIVITÉS PHYSIQUES &/ SPORTIVES
ANR+200;SÉANCE INDIVIDUELLE RÉADAPT &/ CONSERVATION PROPRIOCEPTION PAR ACTIVITÉS PHYSIQUES &/ SPORTIVES
ANR+212;SÉANCE RÉÉDUC TROUBLES SENSORIELS D'ORIGINE NEUROLOGIQUE CENTRALE / PÉRIPHÉRIQUE
ANR+216;SÉANCE RÉÉDUC PSYCHOMOTRICE SCHÉMA CORPOREL
ANR+219;SÉANCE RÉÉDUC PSYCHOMOTRICE DYSPRAXIES GESTUELLES
ANR+237;SÉANCE RÉÉDUC PSYCHOMOTRICE TROUBLES TEMPOROSPATIAUX
ANR+259;SÉANCE RÉÉDUC PSYCHOMOTRICE TROUBLES LATÉRALITÉ
ANR+265;SÉANCE APPRENTIS GESTION DOULEUR
ANR+270;SÉANCE INDIVIDUELLE RÉADAPT &/ CONSERVATION COORDINATION PAR ACTIVITÉS PHYSIQUES &/ SPORTIVES
ANR+283;SÉANCE RÉÉDUC D'1 TROUBLE SENSIBILITÉ SUPERFICIELLE &/ PROFONDE
APR+014;SÉANCE RÉÉDUC FCTNS NEUROMUSCUL POUR AFFECTION NEUROLOGIQUE PÉRIPHÉRIQUE DÉGÉNÉRATIVE
APR+036;SÉANCE RÉÉDUC FCTNS NEUROMUSCUL POUR AFFECTION NEUROLOGIQUE PÉRIPHÉRIQUE, EN PHASE PRÉCOCE
APR+187;SÉANCE RÉÉDUC FCTNS NEUROMUSCUL POUR AFFECTION NEUROLOGIQUE PÉRIPHÉRIQUE, EN PHASE RÉCUPÉRATION
AZQ+131;ÉVAL INITIALE POUR RÉÉDUC FONCTIONS NEUROMUSCULAIRES
AZQ+144;ÉVAL INTERMÉDIAIRE POUR RÉÉDUC FONCTIONS NEUROMUSCULAIRES
AZQ+164;ÉVAL FINALE POUR RÉÉDUC FONCTIONS NEUROMUSCULAIRES
AZR+002;SÉANCE RÉÉDUC FONCTIONS NEUROMUSCULAIRES POUR AFFECTION MÉDULLAIRE DÉGÉNÉRATIVE
AZR+020;SÉANCE RÉÉDUC FONCTIONS NEUROMUSCULAIRES POUR AFFECTION MÉDULLAIRE, EN PHASE PRÉCOCE
AZR+038;SÉANCE RÉÉDUC FONCTIONS NEUROMUSCULAIRES POUR AFFECTION MÉDULLAIRE, EN PHASE RÉCUPÉRATION
AZR+075;SÉANCE RÉÉDUC FONCTIONS NEUROMUSCULAIRES POUR AFFECTION NERVEUSE PÉRIPHÉRIQUE DÉGÉNÉRATIVE
AZR+083;SÉANCE RÉÉDUC FONCTIONS NEUROMUSCULAIRES POUR AFFECTION CÉRÉBRALE EN PHASE RÉCUPÉRATION
AZR+119;SÉANCE RÉÉDUC FCTNS NEUROMUSCUL POUR AFFECTION NERVEUSE PÉRIPHÉRIQUE, EN PHASE RÉCUPÉRATION
AZR+165;SÉANCE RÉÉDUC FONCTIONS NEUROMUSCULAIRES POUR AFFECTION NERVEUSE PÉRIPHÉRIQUE, EN PHASE PRÉCOCE
AZR+199;SÉANCE RÉÉDUC FONCTIONS NEUROMUSCULAIRES POUR MOUVEMENTS ANORMAUX
AZR+242;SÉANCE RÉÉDUC FONCTIONS NEUROMUSCULAIRES POUR AFFECTION CÉRÉBRALE DÉGÉNÉRATIVE
AZR+252;SÉANCE RÉÉDUC FONCTIONS NEUROMUSCULAIRES POUR AFFECTION CÉRÉBRALE, EN PHASE PRÉCOCE
A1;UTILISATION D¿UN ESPACE STIMULATION MULTISENSORIELLE CONTRÔLÉE
A2;UTILISATION D¿UNE NAPPE MESURE PRESSION EN POSITIONNEMENT
A3;UTILISAT D¿UNE PLATEFORME OSCILLOMÉTRIQUE MOTORISÉE RÉÉDUC + CAPTEURS FORCE & RÉTROCONTRÔLE VISUEL
A4;UTILISATION D'UNE PISCINE / D'UNE AUTRE BALNÉOTHÉRAPIE
BLQ+012;ÉVAL FINALE CAPACITÉ VISUELLE, OCULOMOT SENSORIELLE, SENSIT &/ MOT D'1 PATIENT DÉFICIENT VISUEL
BLQ+018;ÉVAL INITIALE CAPACITÉ DÉPLACEMENT D'1 PATIENT DÉFICIENT VISUEL
BLQ+028;ÉVAL POUR RECHERCHE FILTRES PROTECTEURS VISION
BLQ+037;ÉVAL INTERMÉD CAPACITÉ VISUELLE, OCULOMOT SENSORIELLE, SENSIT &/ MOT D'1 PATIENT DÉFICIENT VISUEL
BLQ+137;ÉVAL INTERMÉDIAIRE CAPACITÉ DÉPLACEMENT D'1 PATIENT DÉFICIENT VISUEL
BLQ+155;ÉVAL TOLÉRANCE Ã€ LUMIÉRE
BLQ+272;ÉVAL FINALE CAPACITÉ DÉPLACEMENT D'1 PATIENT DÉFICIENT VISUEL
BLQ+273;ÉVAL INIT CAPACITÉ VISUELLE, OCULOMOT, SENSORIELLE, SENSIT &/ MOT D'1 PATIENT DÉFICIENT VISUEL
BLR+077;SÉANCE RÉÉDUC OCULOMOTRICE
BLR+107;SÉANCE APPRENTIS AUTONOMIE DÉPLACEMENT D'1 PATIENT DÉFICIENT VISUEL
BLR+131;SÉANCE RÉÉDUC TROUBLES RECONN FORMES & REPÉRAGE D'OBJET DANS L'ESPACE, DANS L'AGNOSIE VISUELLE
BLR+152;SÉANCE APPRENTIS RÉALISATION ACTIVITÉS  VIE QUOTIDIENNE PAR 1 PATIENT  DÉFICIENT VISUEL
BLR+156;SÉANCE RÉÉDUC EN BASSE VISION
BLR+257;SÉANCE RÉÉDUC TROUBLES DÉPLACEMENT, DANS L'AGNOSIE VISUELLE
BN;NÉCESSITÉ RECOURS Ã€ 1 INTERPRÉTE
CDQ+111;ÉVAL FINALE AUDITION
