RECTYPE;RECTYPE_LABEL
DIGECHIMIO4;Chimio Dige
DIGEECHOEND;Compte rendu echo endoscopie
DIGEENDOB1;Compte rendu endoscopie basse
DIGEENDOH2;Compte rendu endoscopie haute
DIGENUT1;Courrier Sortie nutrition
DIGENUT2;Ordonnance nutrition
DIGENUT3;Courrier prestataire nutrition
DIGEPROCTO;Compte rendu proctologie
EEFFORTAUVE;Compte-rendu épreuve d'effort
EEFFORT;Compte-rendu épreuve d effort
EVAL;Compte-rendu Evaluation Gériatrique
GERIAPPEL;fiche APPEL PLATEFORME TELEPHONIQUE
GERICSMEMI;Consultation Mémoire Initiale
GERICSMEMS;Consultation Mémoire Suivi
GERIEVAL6;CR évaluation gériatrique
GERIEVAL7;CR Evaluation Gériatrique
GERIMMS;MMSE
GERIPSY;Evaluation Neuropsychologique
GERISYNTH_sauve;Synthèse Evaluation Gérontologique
GERISYNTH;Synthèse Evaluation Gérontologique
HOLTER;Compte-rendu de Holter
HOLTERSAUVE;Compte-rendu de Holter
HOLTER2;Compte-rendu de Holter (b)
HOLTER3;Compte-rendu de Holter (c)
INFOPAT;Informations Patient
LDL2024;Lettre de Liaison 2024
LETLIAIS;Lettre de liaison
LETLIAISON2;lettre de liaison (sortie)
LETLIAIS1;Lettre de liaison (sortie)
MLEGCASA;Compte rendu MLEG
NDSPAPPEL;Fiche d'appel Soins Palliatifs
NEUCSIPO;CR SIPO NEUROCHIRURGIE
NEUCSIPO2;CR SIPO NEUROCHIRURGIE
NNATCRS1;Compte-rendu de sortie (néonat)
OBSCER8J;Certificat du 8ème jour
OBSCRACC;Compte-rendu d' accouchement
OBSCRACCold;Compte-rendu d' accouchement
OBSTACC;CR fin de séjour SDC / ACC
OBSTORDANES;Ordonnance bilan anesthésie
OBSTORDSDC;Ordonnance de suites de couches
OBSTORDSDCX;Ordonnance SDC (A4)
OBSTUGP;CR de fin de séjour UGP
ORDOACT;Ordonnance
ORDOIMP;Impression ordonnance hors patient
ORDONACTE;Ordonnance
ORDONACTE1;Ordonnance
ORDONACTE2;Ordonnance - BT
ORDON1;Ordonnance
ORDON2;Ordonnance test macro distante
ORDON4;Ordonnance
ORDON5;Ordonnance
ORDON6;Ordonnance
ORDON7;ordonnance - BT
ORDON8;ordonnance_sejour_bon_transport_lourd
ORTHOL;CR de LIAISON  ORTHO
PATESTC2R;Test PA CR
PATSANSALV;Echelle de douleur enfant SAN SALVADOUR
PEDCINFO;Informations Patient Chir Ped
PEDCONT;PEDCONT
PEDCRIP1;Ecrit relatif au recueil d'une I.P. en pédiatrie
PEDCSIPO;CR SIPO CHIRURGIE PEDIATRIE
PEDEENDOBA;Compte-rendu coloscopie
PEDEENDOBS;Compte-rendu coloscopie
PEDEENDOHA;Compte-rendu FOGD
PEDEENDOHS;Compte-rendu gastroscopie
PEDSUIVCONS;Suivi de consultation pédiatrique
PMT;PMT
PNM1CHIMIO;CR CHIM
PNM1CHIMIO2;Compte rendu chimiothérapie Pneumo HCN
PNM1CHIMIO4;Chimio Pnm1
PNM2BRONCHO;Schéma broncoscopie
PNM2GRAPH1;Tracés polysomnographiques
PROJA;Annulation projet de sortie
PROJ;Projet de sortie
PROJREAC;Réactivation projet de sortie 
PROJ04;demande de logement
RADIEXTRAVAS2003;Formulaire extravasation
RADIEXTRAV;Formulaire extravasation
RADIEXTRAV2;Formulaire extravasation (V2)
RDVPATIENT;Tableau des RDV futurs du PATIENT
REACCARDPO;REACCARDPO
REACECHO;Compte-rendu d'échocardiographie
REACSIPO3;Compte-rendu REAC SIPO
REACSIPO4;CR de REAC SIPO
RECAPAT;Recap doss pat
RECAPA2;Impression codes patients
TAAAA_old;Texte associé acte
TAAAAOOOO;Texte associé acte
TAAAASAUVE;Texte associé acte
TAAAA;Texte associé acte v1
TAAAA5;sauvegarde non virusséTexte associé acte
TAA2AA_old;Texte associé d acte
TAA2AAold;Texte associé d acte
TAA2AAoold;Texte associé d acte
TAA2AAo2805;Texte associé d acte
TAA2AA_perime;Texte associé d acte
TAA2AASAUVE;Texte associé d acte
TAA2AA;Texte associé d acte
TAA2AA0404;Texte associé d acte
TAA2AA0605;Texte associé d acte
TAA2AA2810;Texte associé d acte
TAA2AA2904;Texte associé d acte
TAA2AA3004;Texte associé d acte
TASAASAUVE;Texte associé séjour
TASAA;Texte associé séjour v1
TASRESAUVE;Impression résumé de séjour
TASRES;Impression résumé de séjour
TAS2AASAUVE;Texte associé de séjour
TAS2AA;Texte associé de séjour
TAS2AA1403;Texte associé de séjour
TAS2AA2005;Texte associé de séjour
TAS2AA2403;Texte associé de séjour
TAS2AA2503;Texte associé de séjour
TAS2AA2605;Texte associé de séjour
TAS2AA2705;Texte associé de séjour
TAS2AA3005;Texte associé de séjour
testng;test ng
testNG;test nicolas
TESTPA;TEST PA
TEST2;testng2
USCPOREA;USCPO REA CCARD
WTest;Test PM
2007ACJRAD;Compte-rendu radio St Julien
ICCATC;Transmission ciblée ICCA
XWAYTC;Transmission Ciblée XWAY
A100_OLECRPPAL;
DAVINCI;
DIANE;
DICT;
OPROOM;
PDFCRACTE2;
SIGEN;
SINED;
SOFTALMO;
TU;
XWAY;
