TYPEANA;TYPEANA_LABEL
BG_ADNBAR.BG_ADNBAR_ST;PCR Bartonella sp - Statut
BG_ADNBAR.BG_ADNBAR_TEC;PCR Bartonella sp - Technique
BG_ADNBH.BG_ADNBH_COM;PCR Bordetella holmesii - Commentaire
BG_ADNBH.BG_ADNBH_CT;PCR Bordetella holmesii - ADNBH Ct
BG_ADNBH.BG_ADNBH_CTS;PCR Bordetella holmesii - ADNBH Ct souche
BG_ADNBH.BG_ADNBH_NAT;PCR Bordetella holmesii - Nature de prélèvement
BG_ADNBH.BG_ADNBH_PVT;PCR Bordetella holmesii - Nature pvt calculée
BG_ADNBH.BG_ADNBH_RES;PCR Bordetella holmesii - Résultat
BG_ADNBH.BG_ADNBH_ST;PCR Bordetella holmesii - Statut
BG_ADNBH.BG_ADNBH_TEC;PCR Bordetella holmesii - Technique
BG_ADNBM.BG_ADNBM_COM;PCR Burkholderia mallei et pseudomallei - Commentaire
BG_ADNBM.BG_ADNBM_CT;PCR Burkholderia mallei et pseudomallei - Ct
BG_ADNBM.BG_ADNBM_CTS;PCR Burkholderia mallei et pseudomallei - Ct souche
BG_ADNBM.BG_ADNBM_NAT;PCR Burkholderia mallei et pseudomallei - Nature de prélèvement
BG_ADNBM.BG_ADNBM_PVT;PCR Burkholderia mallei et pseudomallei - Nature pvt calculée
BG_ADNBM.BG_ADNBM_RES;PCR Burkholderia mallei et pseudomallei - Résultat
BG_ADNBM.BG_ADNBM_ST;PCR Burkholderia mallei et pseudomallei - Statut
BG_ADNBM.BG_ADNBM_TEC;PCR Burkholderia mallei et pseudomallei - Technique
BG_ADNBP.BG_ADNBP_COM;PCR Bordetella pertussis - Commentaire
BG_ADNBP.BG_ADNBP_CT;PCR Bordetella pertussis - ADNBP Ct
BG_ADNBP.BG_ADNBP_CTS;PCR Bordetella pertussis - ADNBP Ct souche
BG_ADNBP.BG_ADNBP_NAT;PCR Bordetella pertussis - Nature de prélèvement
BG_ADNBP.BG_ADNBP_PVT;PCR Bordetella pertussis - Nature pvt calculée
BG_ADNBP.BG_ADNBP_RES;PCR Bordetella pertussis - Résultat
BG_ADNBP.BG_ADNBP_ST;PCR Bordetella pertussis - Statut
BG_ADNBP.BG_ADNBP_TEC;PCR Bordetella pertussis - Technique
BG_ADNCB.BG_ADNCB_COM;PCR Coxiella burnetii - Commentaire
BG_ADNCB.BG_ADNCB_CT;PCR Coxiella burnetii - Ct
BG_ADNCB.BG_ADNCB_CTS;PCR Coxiella burnetii - Ct souche
BG_ADNCB.BG_ADNCB_NAT;PCR Coxiella burnetii - Nature de prélèvement
BG_ADNCB.BG_ADNCB_PVT;PCR Coxiella burnetii - Nature pvt calculée
BG_ADNCB.BG_ADNCB_RES;PCR Coxiella burnetii - Résultat
BG_ADNCB.BG_ADNCB_ST;PCR Coxiella burnetii - Statut
BG_ADNCB.BG_ADNCB_TEC;PCR Coxiella burnetii - Technique
BG_ADNCD.BG_ADNCD_COM;Recherche d'ADN de C. diff sur plvt - Commentaire
BG_ADNCD.BG_ADNCD_CT_GDH;Recherche d'ADN de C. diff sur plvt - Ct Gdh
BG_ADNCD.BG_ADNCD_CT_TCDB;Recherche d'ADN de C. diff sur plvt - Ct tcdB 2014
BG_ADNCD.BG_ADNCD_NAT;Recherche d'ADN de C. diff sur plvt - Nature de prélèvement
BG_ADNCD.BG_ADNCD_PVT;Recherche d'ADN de C. diff sur plvt - Nature pvt calculée
BG_ADNCD.BG_ADNCD_RES_GDH;Recherche d'ADN de C. diff sur plvt - Résultat Gdh
BG_ADNCD.BG_ADNCD_RES_TCDB;Recherche d'ADN de C. diff sur plvt - Résultat tcdB 2014
BG_ADNCD.BG_ADNCD_TEC;Recherche d'ADN de C. diff sur plvt - Technique
BG_ADNCOX.BG_ADNCOX_CR;PCR Coxiella - Compte-rendu
