SEJUF;SEJUM
2431;HEMA
5100;MINT
5200;JMEA
5656;NEUX
2720;DIGE
2722;DIGE
5400;DIGE
5401;DIGE
5405;DIGE
5520;CARD
5532;CARD
5570;NEPH
2260;PNM1
2261;PNM1
2262;PNM1
5625;PEDG
5624;PEDE
5626;PEDE
8185;PEDE
1521;DIGE
8201;NEUX
8205;NEUX
5720;URGE
2480;REAM
5710;REAM
2611;CGCV
2820;CGCV
6100;CGCV
6102;CGCV
6104;CGCV
8320;CGCV
8700;CGCV
8802;STOM
6161;OBST
6162;OBST
6171;OPHT
6190;ORLP
6200;NEUC
2627;UROL
2710;UROL
6210;UROL
6212;UROL
6213;UROL
8270;UROL
2630;CCARD
6240;CCARD
6241;CCARD
6850;CCARD
8735;CCARD
2615;CGCD
6300;CGCD
6310;CGCD
6330;CGCD
8840;CGCD
2616;ORTH
6410;ORTH
6420;ORTH
8850;ORTH
2650;ORTH
6450;ORTH
8720;ORTH
8475;JRET
5705;URGE
2730;OBST
6173;OPHT
6174;OPHT
2250;DIGE
2441;BACT
7135;CURO
7136;CURO
7137;CURO
7160;CURO
7161;CURO
7162;CURO
7163;CURO
7164;CURO
2110;ANES
8206;NEUX
6320;CGCD
5403;DIGE
5508;DIGE
8186;PEDE
7190;NEUX
7191;NEUX
2640;STOM
5715;REAM
8751;OBST
8860;PHAR
5420;PHYS
6285;REAC
5136;INTB
5137;INTB
5511;RHUM
2423;PHAR
8235;DERM
8192;HEMA
2426;BIOB
8327;BACT
2104;ANES
5612;PEDG
8606;JPOL
8885;NNAT
2608;STOM
2492;PHAR
6215;UROL
2420;BIOB
5657;NEUX
8136;ALCO
6168;OBST
6242;REAC
7145;JMEA
7146;JMEA
5122;MINT
5627;PEDE
6114;PLAS
6103;CTHX
8730;CTHX
6191;ORLP
6159;ORLP
2592;JRAD
2593;JRAD
8611;JPOL
8755;OBST
8536;ALCO
2635;STOM
2633;ORLO
7132;PNM2
8009;URGE
6550;AMBU
5618;PEDE
5619;PEDE
2576;IREM
5525;CARD
2428;IMMU
5607;NNAT
2481;REAC
5410;DIGE
6220;UROL
8747;PEDC
2636;STOM
8457;CURO
8736;CCARD
8890;NNAT
8189;PEDE
9506;PHIE
3160;NUTR
8793;DOUL
6244;REAC
2275;OPHT
2427;LABO
2440;LABO
6520;AMBU
2641;OBST
6612;ORLO
6622;STOM
8804;STOM
8762;ORLO
8550;COBG
2643;ORTH
2646;ORLO
2648;CGCV
2649;CCARD
5629;PEDE
8440;COBG
2562;RADI
5301;SPAL
8896;NNAT
5717;URGE
2663;CGCD
7128;MSEJ
5563;NEPH
5751;UHAV
2514;RADI
2445;APAT
3150;GERI
6155;REAC
6500;AMBU
5703;URGE
2270;RHUM
8380;INFC
2118;SMUR
2647;NEUC
2629;CCARD
5192;HEMA
5659;REAP
6440;ORTH
5605;NNAT
6119;ORTH
5204;JMEP
8458;MSEJ
2595;IREM
8605;JPOL
8226;PNM1
8833;MEDT
8834;MEDT
6204;REAC
7139;CURO
2617;PLAS
2609;PLAS
6111;PLAS
6400;PLAS
8715;PLAS
2642;CGCD
8252;NUTR
2662;ANES
2661;PNM1
7183;JLSE
5685;NNAT
5127;ALCO
7133;MSEJ
8255;NUTR
7210;MSDI
7220;MSNUT
8350;URGE
8215;PNM2
8460;BOUC
8470;BOUC
5126;ALCO
2638;CGCV
2639;CTHX
2637;NEUC
2634;OPHT
2631;ORTH
2632;PLAS
5300;SPAL
8300;SPAL
8305;SPAL
2618;CTHX
5709;URGE
7129;MSEJ
5530;CARD
5526;CARD
9515;INFC
5901;PSYC
8609;JPOL
8331;LABO
8332;LABO
8333;LABO
8334;LABO
8137;ALCO
5406;DIGE
5716;REAM
6430;ORTH
6208;ORTH
2610;CTHX
2645;OBST
8781;OPHT
8540;JCHA
6206;REAC
6245;CCARD
7124;MSEJ
7125;MSEJ
5947;ENEU
5651;NEUX
8608;JPOL
8610;JPOL
8803;STOM
8187;PEDE
5350;DOUL
8895;NNAT
8070;MINT
8335;LABO
2644;PEDC
8193;PEDE
5251;NUTR
8251;NUTR
5591;PNM1
8221;PNM1
5644;DERM
8231;DERM
8752;OBST
6606;ANES
6605;RADI
5261;ANES
8111;DIGE
5718;REAM
5154;GERA
5156;GERA
8151;GERA
8152;GERA
8155;GERA
8156;GERA
2552;RADI
2553;RADI
2554;RADI
2555;RADI
2556;RADI
2557;RADI
2558;RADI
2559;RADI
5203;JMEP
5636;PNM1
2179;ANES
2123;ANES
2143;ANES
2213;CARD
2667;CCARD
2668;CGCD
8141;ENDO
6183;ORLO
8351;URGE
6115;ORTH
8441;COBG
6260;OBST
8612;JPOL
8613;JPOL
8161;RHUM
8011;URGE
6288;REAC
2446;BACT
8101;ANES
2176;ANES
2171;ANES
2172;ANES
2174;ANES
2175;ANES
2177;ANES
2178;ANES
6607;REAC
6185;STOM
5546;INFC
5365;MSEJ
2542;RADI
2546;RADI
5850;URGE
5851;URGE
5852;URGE
5853;URGE
8794;DOUL
6286;REAC
5647;DERM
8182;PEDE
8239;DERM
5262;ALGO
5608;NNAT
2457;LABO
8381;INFC
5544;INFC
8382;INFC
8338;LABO
8339;LABO
8340;LABO
5485;CYTO
6142;STOM
6243;CCARD
8897;NNAT
6117;NEUC
6289;REAC
5157;GERI
8301;SPAL
8150;GERI
5451;JPOL
6411;GERI
8203;NEUX
8387;INFC
5351;DOUL
8204;NEUC
5205;JMEP
2526;RADI
8716;PLAS
5106;MINT
6287;REAC
8336;LABO
6510;AMBU
2107;ANES
8241;REAC
6530;AMBU
2144;ANES
8614;JPOL
8383;INFC
8384;INFC
8385;INFC
8371;INFC
5099;UCSA
5902;GENE
2665;CCARD
2613;PLAS
8805;STOM
8753;OBST
2212;CCARD
8194;PEDG
5632;PNM1
5635;PNM1
5015;URGP
5010;URGP
5854;URGP
5855;URGP
8000;URGP
2486;CYTO
6608;ENDO
5648;DERM
6199;PEDC
8902;GENE
8296;PHYS
5527;CARD
6311;CGCD
8476;JLSE
8207;NEUC
8196;PEDG
8162;RHUM
5128;MINT
5637;NNAT
5598;PNM1
2458;APAT
5440;COBG
6415;PLAS
6807;STOM
6281;REAC
6284;REAC
8013;URGE
8014;URGP
8886;PEDE
8887;PEDE
2173;ANES
6207;NEUC
5617;PEDE
8012;URGE
2276;OPHT
5533;PNM1
5592;PNM1
5170;OPHT
8888;PEDE
8807;STOM
6214;UROL
