SEJUF;SEJUM
5628;PEDE
8188;PEDE
2605;CGCD
2606;NEUC
2603;OPHT
2604;ORLO
2602;ORTH
2607;UROL
2601;CGCV
5450;JPOL
5210;JMEA
8410;JMEA
8411;JMEA
5250;NUTR
8250;NUTR
2721;NUTR
2155;ANES
8325;URGE
6198;ORLP
2535;RADP
6340;CGCD
5670;ENEU
8607;JPOL
8135;ALCO
5125;ALCO
8530;ALCO
2100;ANES
2101;ANES
2102;ANES
2103;ANES
2105;ANES
2106;ANES
2120;ANES
2121;ANES
2130;ANES
2131;ANES
2132;ANES
2141;ANES
2142;ANES
2150;ANES
2160;ANES
8505;ANES
2456;APAB
2451;APAT
2452;APAT
8280;APAT
2412;BACT
2421;BIOB
2422;BIOB
2424;BIOB
2425;BIOB
1105;BOUC
7111;BOUC
7112;BOUC
7116;BOUC
2201;CARD
2211;CARD
5522;CARD
5523;CARD
8170;CARD
8903;COBG
7140;CURO
7142;CURO
7143;CURO
7150;CURO
8450;CURO
2453;CYTO
2454;CYTO
2455;CYTO
2461;CYTO
2485;CYTO
5640;DERM
5642;DERM
5643;DERM
8230;DERM
2253;DIGE
2255;DIGE
5500;DIGE
5501;DIGE
5505;DIGE
5506;DIGE
6830;DIGE
6835;DIGE
8110;DIGE
1810;DIM.
1820;DIM.
2221;ENEU
2223;ENEU
2224;ENEU
2225;ENEU
2226;ENEU
8290;ENEU
2438;GENE
8900;GENE
5150;GERI
5151;GERI
5152;GERI
5153;GERI
2432;HEMA
8870;HEMA
2470;HYGI
2430;IMMU
5540;INFC
5542;INFC
5543;INFC
5545;INFC
5645;INFC
8390;INFC
5130;INTB
5133;INTB
5135;INTB
8140;INTB
8947;INTB
2519;IREM
2524;IREM
2525;IREM
2540;IREM
2543;IREM
2544;IREM
2545;IREM
2549;IREM
2550;IREM
2560;IREM
2561;IREM
2575;IREM
8535;JCHA
7500;JDOM
2464;JLAB
7180;JLSE
7181;JLSE
7182;JLSE
5201;JMEA
5202;JMEA
8400;JMEA
8402;JMEA
8403;JMEA
2210;JPOL
8401;JPOL
8600;JPOL
8601;JPOL
8602;JPOL
8603;JPOL
8604;JPOL
8721;JPOL
8722;JPOL
2590;JRAD
2591;JRAD
7105;JRET
7106;JRET
1157;MEDT
8830;MEDT
8831;MEDT
8832;MEDT
5104;MINT
5105;MINT
5120;MINT
5121;MINT
5123;MINT
5124;MINT
5131;MINT
6825;MINT
8130;MINT
7200;MSDI
7121;MSEJ
7126;MSEJ
7130;MSEJ
7131;MSEJ
8515;MSEJ
7201;MSPE
5560;NEPH
5562;NEPH
5572;NEPH
6860;NEPH
8260;NEPH
2626;NEUC
2840;NEUC
6202;NEUC
6203;NEUC
6205;NEUC
8790;NEUC
5600;NNAT
5602;NNAT
5603;NNAT
5604;NNAT
8881;NNAT
2620;OBST
2622;OBST
6160;OBST
6163;OBST
6164;OBST
6165;OBST
6166;OBST
6167;OBST
6169;OBST
8005;OBST
8750;OBST
8810;OBST
8811;OBST
2623;OPHT
2750;OPHT
6170;OPHT
6172;OPHT
8780;OPHT
8783;OPHT
2624;ORLO
6180;ORLO
6182;ORLO
6184;ORLO
8760;ORLO
2625;ORLP
2850;ORLP
6192;ORLP
6193;ORLP
6194;ORLP
6197;ORLP
8020;ORLP
8770;ORLP
2612;ORTH
2830;ORTH
6110;ORTH
6112;ORTH
6113;ORTH
6116;ORTH
8710;ORTH
2621;PEDC
6150;PEDC
6151;PEDC
6152;PEDC
6153;PEDC
6154;PEDC
6196;PEDC
8010;PEDC
8745;PEDC
2259;PEDE
5620;PEDE
5621;PEDE
5622;PEDE
5623;PEDE
6810;PEDE
6815;PEDE
6820;PEDE
6836;PEDE
8015;PEDE
8180;PEDE
8181;PEDE
5610;PEDG
5613;PEDG
5614;PEDG
5615;PEDG
6840;PEDG
8190;PEDG
8191;PEDG
2232;PHAR
2490;PHAR
2491;PHAR
2495;PHAR
2113;PHIE
2311;PHIE
2313;PHIE
2314;PHIE
2316;PHIE
2318;PHIE
2699;PHIE
8940;PHIE
8941;PHIE
8942;PHIE
8943;PHIE
8944;PHIE
8945;PHIE
2241;PHYR
2242;PHYR
2244;PHYS
8295;PHYS
2810;PNM1
5590;PNM1
5593;PNM1
5594;PNM1
5595;PNM1
5596;PNM1
8220;PNM1
2265;PNM2
5630;PNM2
5631;PNM2
5633;PNM2
5634;PNM2
8210;PNM2
0423;PSSR
0428;PSSR
0429;PSSR
0435;PSSR
0518;PSSR
0521;PSSR
0523;PSSR
0524;PSSR
0530;PSSR
2930;PSSR
2935;PSSR
5900;PSYC
8820;PSYC
2513;RADB
2520;RADB
2523;RADB
2532;RADB
2511;RADI
2515;RADI
2516;RADI
2517;RADI
2518;RADI
2522;RADI
2533;RADI
2541;RADI
2551;RADI
2521;RADP
2531;RADP
2570;RADP
6280;REAC
6282;REAC
6283;REAC
8500;REAC
2660;REAM
5712;REAM
5713;REAM
5714;REAM
8240;REAM
5660;REAP
5661;REAP
8195;REAP
2860;RHUM
5510;RHUM
5512;RHUM
5513;RHUM
5514;RHUM
5515;RHUM
8160;RHUM
2111;SMUR
2112;SMUR
2114;SMUR
2115;SMUR
6141;STOM
8800;STOM
8801;STOM
8050;UCSA
5700;URGE
5701;URGE
5802;URGE
7600;URGE
8001;URGE
8006;URGE
8007;URGE
5650;NEUX
5141;NEUX
5142;NEUX
5652;NEUX
5653;NEUX
5654;NEUX
5561;NEPH
9500;PHIE
9501;PHIE
9502;PHIE
2433;HEMA
2434;HEMA
2435;HEMA
2436;HEMA
2437;HEMA
2439;HEMA
