SEJUF;SEJUF_LABEL
2423;PHARMA.TOXICO.IBCORE
2490;CTRE REG.PHARMACO.
2491;PHARMACOCINETIQUE
2492;OBS.REG.MEDICAMENT
2495;PHARMACOGENETIQUE
8860;A.M.P.L.DOPAGE
2244;PHYSIO.DIG.URIN.RESP
2412;MICROBIO.BACTERIO.
2415;MICROBIO.PARASITO.
2416;C.REF CRYPTOSPORIDIE
2421;BIOCH.MED.QUOTIDIEN
2422;BIOCH.MED.SPECIALISE
2425;BIOCH.MED.RADIOANAL.
2426;BIOCHIMIE METABOLIQ.
5544;COVID LESCHEVIN 3EME
5608;EQUIPE MOBI PERINAT
2428;IMMUNO BIOTHERAPIES
2429;IMMUNOPATH CELLULAIR
2430;IMMUNOPATH ANTICORPS
2432;HEMATOLOGIE
2433;HEMATO.HEMOSTASE VAS
2464;HEMATO.BIOLOGIE SJ
2144;ANESTH CARDIO INTERV
2150;ANESTHESI GYNEC OBST
2481;COORD PRELEVEMENTS
2652;ROBOT DIGESTIF PREST
2113;VENTE A L UMR
2317;PHARMA.PREPARATOIRE
2318;PHARMA.LABO PARENTER
2320;PLATEFORME PHARMACIE
2330;PHARMA.PREPA.CYTOST.
2699;PHARMA.STE.CENTRALE
8194;DRAK AJA COORDINATIO
6810;PREV.MSIN  AIDE SAD
6815;CTRE REF MIN PREL.CS
2480;MED INT REA TOXICOLO
1197;PEMR
9203;CASSE PERTE PHARMA
2413;NGS MICROBIO CLINIQU
2417;CENTRE REFERENCE VIH
7126;SMR GERIA 2 PREV
7132;SMR AFF RESPI PREV
2700;ODONTOLOGIE SJ
9201;PERIMES PHARMACIE PL
5540;MAL INFECTIEUSES UG
5542;MAL INFECTIEUSES HC
5645;CeGIDD HCN PORTE 24
5646;CeGIDD ST JULIEN
9515;CONSULT GRIPPE A
5572;NEPHRO.HEMODIALYSE
1410;CARSP
1950;RENFORT COVID MED
1946;UPR DU POLE MED
1926;UF GENERIQUE MED
5635;PNEUMO HCN SOINS INT
2410;CENTRE RESSOUR BIOLO
2265;PNEUMOLOGIE ACTES ME
8130;MEDECINE INTERNE CS
8231;DERMATO ALLERGO CS
5126;ADDICT HDJ ST JULIEN
8137;CONSULT ADDICTOLOGIE
8530;CSAPA ANTENNE HCN
8710;ORTHO.TRAUMATO.CS
8535;CSAPA ANTENNE ST JUL
8715;CHIR.PLASTIQUE CS
8881;PED.NEONAT.REA CS
5301;SOINS PALLIATIFS HDJ
2108;ANEST SSPI COMMUN N1
5405;UROLOGIE DIGESTIF ON
8606;CS DIABETO-ENDOC.SJ
8255;CONSULTA TABACOLOGIE
8886;CR MAL LYSOSOMALES
8385;VACC COV19 G LE CONQ
8182;CARDIOPED CARD CONG
8745;CHIR PEDIATRIQUE CS
8387;COV19 PREL ST JULIEN
8351;UAPED
5854;UA PED PLAN BLANC
1291;DIRECTION BOUCICAUT
1361;JARDIN ATELIER USLD
7111;USLD ARCADIE RDC
1111;CRMPR LES HERBIERS
8160;RHUMATOLOGIE CS AMBU
8887;CRM NEUROMUSCULAIRES
8751;CTR EXP.ENDOMETRIOSE
8410;GERIAT AIGUE SJ CS
8475;EHPAD ST JULIEN CS
5595;PNEUMO.CN GRANCHER
2275;OPHTALMO ACTES MEDIC
2276;OPHTAL MEDICOTECH BG
8730;CHIR.GEN.THOR.CONSUL
2241;PHYSIO RESP
6206;REA CHIR SI NEUROCH
8614;CS NEPHRO ANIDER STJ
8371;MONKEYPOX
8007;SAU CS SPECIALISEES
5156;MEDECINE GERIA HDJ
2649;BLOC LOC SALLE HYBRI
8070;PASS CONSULTATIONS
7112;USLD ARCADIE 1ER ET.
6860;NEPHRO.TRANSPL.REINS
5852;UA SJ PLAN BLANC
5135;ENDOCRINO.HOSP.JOUR
8252;UNIT.TRANSV NUTR.CLI
5262;ALLERGO AMBU
8611;CS UROLOGIE ST J.
8716;CONSULTAT SOS MAINS
5591;PNEUMO ALLERGO HDJ
5631;PNEUMOLOGIE SI RESPI
6281;USIP CHIRURIGICALE
1155;DOC.MEDICALE
1805;INFORMATIQUE MED.
2642;BLOC URO.DIGEST LOC
2643;BLOC ORTHO-PLAST.LOC
2646;BLOC ORL/CMF/OPH LOC
2647;BLOC NEUROCHIR.LOC
2648;BLOC VASC/THOR.LOC
2668;BLOC SP CH DIG ROBEC
2101;ANESTHESIO.OPHTALMO.
8721;CS CHIR.POST URGENCE
5511;RHUMATO.HOSP.AMBULAT
5128;HDJ VASC PHLEBO
8230;DERMATOLOGIE.CS
8238;DERMATO DOMOPLAIES
5365;3R HDJ EVALUATIONS
8832;MAL.PROF.SUBV.CRAM
8226;C.R.C.M. ADULTE
8260;NEPHROLOGIE CS
8612;CS RHUMATOLOGIE ST J
8613;CS NEPHROLOGIE ST J
8536;CSAPA ANTENN STATION
8196;CRMR GR
5617;PED MED  HJ 
8181;PEDIATRIE.MED.CS HJ
8185;PED.MED.CS NEPHRO
8806;ODONTOLOGIE PSI
8201;NEUROLOGIE CS
5202;MED.SJ 1ER J.VERNE
5512;RHUMATO.HOSP.SEMAINE
6420;ORTHO.TRAUMATO F.HUE
5633;PNEUMO SI RESPIRATOI
5634;PNEUMO.BG HOSP.SEM.
8610;CS CARDIOLOGIE ST J
5205;HDJ MIP SJ
8380;MAL INF SANTE VOYAGE
8750;CS GYNECOLOGIQUES
6185;HDJ ORL CMF GILLIES
6183;ORL HDJ CERVICO FAC
8202;POLICLINIQUE BG
5902;HDJ GENETIQUE CLINIQ
7124;SMR POLY  CD  PREV
7125;SMR POLY AB PREV
8400;CS GERIATRIE ST JUL
8605;CS DERMATO.ST JULIEN
7129;SMR HDJ BG
7136;SMR HDJ OISSEL
5151;MEDECINE GER HCN 4
5401;GASTRO.EST PROGRAMME
6612;ORL FEDERATION
7600;RES.VILLE-HOP.TOXICO
8540;ALCOOL.PROT.JUSTICE
6820;GASTRO.PHARMACIE ASS
1830;RADIOPROTECTION URPM
6215;UROLOGIE HDJ MEDICAL
8600;CS MIP ST JULIEN
5685;HDJ TROUBLES APPR.
8383;CENTRE VACCINATION C
5629;HDJ ADO.6E ETAGE
8384;VACCINATION COV19 SJ
5651;NEUROLOGIE HDJ
8800;STOMATOLOGIE CS HCN
8188;MAISON DE L ADO
8000;URG.PED.CHIR.SPEC.
8752;CS OBSTETRICALES
8753;HANDI CS GYNECO POLI
8155;MEDECINE GER BG CS
8810;CTRE PLAN.EDUC.FAMIL
5440;3R HANDICONSUL HDJ
8441;3R HANDICONSULT POLI
7116;EHPAD BOUCICAUT BETH
1325;EHPAD BOUCICAUT ATEL
1800;INFORMATION MEDICALE
2132;ANESTHESIO.BLOC.PED.
8191;HEMATO.PED.CS H.JOUR
8325;CS MEDECINE LEGALE
8770;ORL PED.CS
8833;MED.DU TRAVAIL BG
8221;PNEUMO ALLERGO CS
8320;CHIR.VASCUL.CONSULT.
6284;REA.CHIR.U72 SI
8180;PEDIATRIE MED.CS
8386;VACCINARENA COVID 19
5703;PERMANENCE DES SOINS
8009;CONSULTATIONS M.R.T
8550;UTEP
8020;ORL PED.URGENCES
8830;MED.DU TRAVAIL CS
5717;UNITE TEMPO.DE CRISE
5543;MAL INFECT U91
8603;CS OPHTALM.ST JULIEN
8604;CS GYNECO.ST JULIEN
8609;CS PEDIATRIE ST J.
8793;CENTRE DE LA DOULEUR
5643;DERMATO. BAZIN
2441;MICROBIO.VIROLOGIE
5250;NUTRITION AMBU HCN
8111;ONCOLOGIE URO DIG CS
8607;CS SOINS PALLIAT.SJ
8235;CTE REF.MAL.BULLEUSE
5127;UNITE PREPA ADDICTO
5621;PEDIATRIE.MED.H.JOUR
6196;CHIRURGIE PEDIA HDJ
8060;CRA OISSEL
8950;MEDECINE LEGALE
6168;HDJ CLIN GYNECO OBST
5637;PED NEONAT HJ
5131;MEDECINE INTERNE 1D
8187;UNITE TRAIT.DOULEUR
8885;C.R.TROUBLES LANGAGE
5545;MAL INFECTIEUSES HJ
8895;C.A.M.S.P
8896;U.N.I.D.E.P
8897;PLATE TRBLE NEURODEV
5546;HDJ INF URI COMPLEXE
5614;HEMATO.ONCO.PED.HJ
8382;EQ MOB PRELEV COVID
8190;HEMATO.ONCO.PED.CS
8781;OPHTALMO POLI CS BG
5612;HEMATO-ONCO.PED 4EME
5613;HEMATO-ONCO PED SI
5623;PED.MED.NOURRISSONS
5627;PEDIATRIE U. SAISON.
5628;PSYCHOPATHO.ADO.
6152;SC CHIR PEDIATRIQUE
6153;CHIRURGIE PEDIATRI 2
5526;CARDIO.HOSP.SEMAINE
5153;MEDECINE GER HS 3E
8947;RECHERCHE CIC CONSUL
6197;ORL PED.HOP.JOUR
8170;CARDIOLOGIE CS
8220;PNEUMOLOGIE CS
8071;P.A.S.S DENTAIRE
8296;CCMR MaRDi
8900;GENETIQUE CLINIQUE
8240;MED INT REA CONSULT
5410;HEPATO GASTRO UAAP
6220;UROLOGIE UAAP
8608;CS NUTRITION SJ
5350;H.D.J DOULEUR
8794;DOULEUR CS POLICL BG
8888;EQUIPE MOB PERINAT
8186;C.R.C.M. PEDIATRIE
6199;HDJ CHIR PED MULTI
8350;C.A.S.A.
8755;AMP CLIN.VERSANT FEM
8805;CS DENTAIRE OISSEL
8156;CENTRE EVAL EINSTEIN
8450;OISSEL CONS.MEMOIRE
6154;CHIRURGIE PEDIATRI 1
5618;PED.MED.SC GRAND ENF
5619;PED.M.SC NOURRISSONS
5622;PEDIATRIE MED.ENFANT
2175;ANESTH LOC M4 DEROCQ
2173;ANESTHESIE PDS
8140;ENDOCRINO.CS
8250;NUTRITION CS HCN
8722;CS MED.POST URGENCES
8162;RHUMATO CSS ASS PAR
6115;ORTHOPEDIE HDJ RAAC
8476;USLD ST JULIEN CS
8440;3R CONSULT POLICLI
8205;NEURO.CS NEUROPSYCHO
8780;OPHTALMOLOGIE CS
8790;NEUROCHIRURGIE CS
5192;C.R.T.H - HDJ
2628;BLOC CHIR.AMBULATOIR
6415;SOS MAINS HDJ
8381;COVID 19
8747;CHIR PED SOINS EXTER
8803;ODONTOLOGIE CS
6142;CMF HDJ
5170;OPHTALMOLOGIE HDJ
6207;RACHIS HDJ
6243;HDJ RAAC CH.CARD.THO
8735;CHIR CARDIAQUE CS
8902;CRMR NEUROGENE
5515;RHUMATOLOGIE DENSITO
5561;NEPHROLOGIE HDJ
8270;UROL.CS EXPLO.ENDOSC
8390;MAL INFECTIEUSES CS
6260;HDJ AMP CLINIQUE
8189;C.R.M.R CALCUIM/PHOS
8005;GYNECO-OBS.URGENCES
8203;NEURO V HOPI YVETOT
8204;CONSULTATION RACHIS
6510;NIVEAU 4 UCA HOSP
6311;HDJ CHIR DIG
8840;CHIR.DIG.CS
5450;POLICLINIQUE SJ AMB.
5451;HDJ EDN ST JULIEN
8601;CS O.R.L. ST JULIEN
8161;RHUMATO CS POLICLINI
5644;DERMATO ALLERG HDJ
5647;DERMATO HDJ MULTI
5648;DERMATO HDJ MAL BUL
2554;FILIERE OSTEOARTIC
2667;BLOC CHIR CARD ROB
6520;UCA PLAN
2519;IMAGERIE IRM 1 HCN
5251;CENTRE NUTRITION BG
2518;IMAGERIE DOPPLER HCN
2259;ENDOSCOPIES PED MED
1421;BLCH LINGERIES RC
8012;ACCUEIL URG ADULTES 
HB10;POUPONNIERE CHBELV
HB08;UK SUD CHBELV
7163;OISSEL USLD GENET
7164;OISSEL USLD SAFRAN
7183;USLD SJ GIVERNY
8215;L A T
8337;CTRE PRELEVEMEN CS
8192;CTE TRAIT.MAL.HEMOR.
5420;PHYSIO.DIG.HOSP.AMB
6606;ANESTHESIOLOGIE HDJ
7160;GERIATR.OISSEL USLD
7161;OIS.USLD/UHR GARANCE
2555;FILIERE DIGESTIF
7114;PROMOTION PROF LS
5527;CARDIO AMBULATOIRE
5533;PNEUMO AMBULATOIRE
6850;CHIR CARDIAQUE HJ
1835;CORESS
2595;IMAGERIE IRM 3
2553;FILIERE NEURORADIO
HB05;CHIRURGIE CHBELV
1947;UPR GERIA BUDGET B
5720;URGENCES ST JULIEN
HB09;UK OUEST CHBELV
5592;PNEUMO ONCOLOGIE HDJ
8013;ACCUEIL URG ST JU
8460;USLD BOUCIC.CONSULT.
2221;NEUROPHYSIOLOGIE
1362;TRVX ENERGIE EAU BOU
5010;URG.ET UHCD PED.CHIR
8831;MAL.PROF.CS
1435;BLCH RESIDENTS
8807;ODONTOLOGIE O+ CS   
1990;PERSONNEL EXT CHBELV
6608;HDJ POLICLINIQUE BG
1432;BLCH RECEPTION
2552;FILIERE COEUR THORAX
2557;FILIERE PEDIATRIE
HB11;PLANIFICATION CHBELV
1080;MED TRAIN CENTER
5598;PNEUMO HPDD IRC
1439;BLCH PLIE
6214;UROLOGIE HS
8505;ANESTH ALLERGOLOGIE
1624;PROMO SAGES FEMMES
2558;FILIERE IMAG FEMME
1260;CHAMBRE MORTUAIRE CN
1430;BLCH LAVAGE
1438;BLCH ADMIN
9618;PAYE OP ORDRE BUD B
1434;BLCH GD PLAT
2458;CENTRE DE FOETOPATHO
6607;HDJ POST REANIMATION
8193;EQ.RESS.SOIN PAL.PED
5670;NEUROPHYSIO.HOSP.AMB
2224;NEUROPHYSIO.EEG PED.
9025;BLCH MAGASIN
5850;PLANC BLANC SSPI AD
HB99;TRACA SEJOUR CHBELV
5099;USS HOSPIT
1436;BLCH VRAC
2669;BLOC SPE CARDIO
HB06;HOSP PRENAT CHBELV
8050;U.S.S
2556;FILIERE UROLOGIE
5636;PNEUMO HCN HOSP NUIT
1814;INSTITUT A CRIBIER
1031;DELEGATION A L'INNOV
5593;PNEUMO IRC
1420;BLCH EXPEDITION
9940;BLCH IMMO
8336;CTRE PRELV GD PUBLIC
8014;ACCUEIL URG PED
8290;NEUROPHYSIO.CS
5802;S.A.U.URGENCES CHIR.
5122;HDJ MEDECINE INTERNE
8295;PHYSIO.DIG.URIN.CS
5261;ANESTH ALLERGO HDJ
1261;CHBRE MORT ST JULIEN
HB07;SUITE COUCHES CHBELV
6340;CHIR DIGESTIVE UAAP
HB02;SDN MATERNITE CHBELV
1437;BLCH MAINTENANCE
5015;URG.ET UHCD PED.MED.
HB04;ECHOGRAPHIE CHBELV
8834;MED.TRAV.ST JULIEN
8736;SUIVI TRANSP CCVA CS
8870;HEMATOLOGIE CS
2575;IMAGERIE IRM 2
8327;UNITE DE PRELEVEMENT
5709;S.A.URGENCES VITALES
HB12;DIRECTION CHBELV
5485;FERTILITE PROCREATIO
8251;NUTRITION CS BG
8210;PNEUMO. POLICL BG CS
8901;CR ANOMALIES DEVELOP
8241;REA CHIR CS
7162;OISS.USLD/UHR PASTEL
7180;USLD ST J.FLEURY RDC
7181;USLD ST J.FLEURY 1
1415;BLCH TRANSPORTS
1431;BLCH FORME
1433;BLCH PETIT PLAT
2225;E.E.G NEONATOLOGIE
1262;CHAMBRE MORTUAIRE BG
HB01;BLOC CHBELV
6807;ODONTOLOGIE HDJ
7182;USLD ST J.FLEURY 2
5701;S.A.U.URGENCES MED.
5851;PLANC BLANC URG AD
5525;CARDIOLOGIE HJ
HB03;CONSULTATION CHBELV
BLOCPO;BLOC PRELEVEMENT ORGANE
0000;UF A RENSEIGNER
0198;ECART D'INVENTAIRE 1
0199;ECART D'INVENTAIRE 2
1010;DNA MUSEE FLAUBERT
1099;ECART D'INVENTAIRE
1521;ANNEXE DIET.DEROCQUE
2131;ANESTHESIO.ORL.PED.
2155;ANESTHESIOLOGIE UGS
2160;ANESTHESIO.ST JULIEN
2215;CARD.EVAL.RECH.D.M.
2223;NEUROPHYSIO.EEG BG
2226;NEUROPHYSIO.BIOMET.
2242;PHYSIO.RESP.SPORT.CN
2253;H.G.E.ENDOSC.DIG.BG
2262;PNEUMO.CN MAL.RESP.
2424;BIOCH.MED.HEMODIAL.
2454;CRYOCONS./CECOS
2461;HISTOLOGIE
2515;IMAG.MED.VASC.INTERV
2540;IMAG.MED.BCQ IRM 3
2545;DPT IMAG.ELBEUF IRM2
2550;IMAG.MED.NEURO IRM 2
2551;FILIERE UROLOGIE - UG
2601;BLOC URG.CHIR VASC.
2602;BLOC URG.ORTHO.TRAU.
2603;BLOC URG.OPHTALMO-PR
2604;BLOC URG.ORL CHIR.FA
2605;BLOC URG.CHIR.DIGEST
2606;BLOC URG.NEUROCH.PRE
2607;BLOC URG.UROLOGIE PR
2608;BLOC URG.MAXIL.FAC.
2609;BLOC URG.CHIR.PLAST.
2610;BLOC URG THORAC.PRES
2612;BL ORTHOP./TRAUMATO
2631;BLOC AMBU.ORTH-TRAUM
2632;BLOC AMBU.PLAST.MAIN
2633;BLOC AMBU.ORL CERV.F
2634;BLOC AMBU.OPHTALM.PR
2636;BLOC AMBU.MAXILLO PR
2637;BLOC AMBU.NEUROCH.PR
2638;BLOC AMBU.VASCUL.PRE
2639;BLOC AMBU.CH.THORA.P
2641;BLOC AMBU.GYNECO PRE
2651;ROBOT UROLOGIE PREST
2653;ROBOT CHIR.INFANT.PR
2654;ROBOT GYNECO PREST.
2655;ROBOT CARDIOVAS.PRES
2656;ROBOT ORL BLOC PREST
2658;ROBOT VASCULA.PREST
2659;ROBOT THORACIQ.PREST
2663;BLOC AMBU.CHIR. DIG.
2664;BLOC OPHT-PED PRESTA
2665;BLOC AMBU CHIR CARD
2720;H.G.E.LASER ENDOSC.
2810;PNEUMO.CN REEDU.RESP
501A;URG.ET UHCD PED.CHIR - EXT A
501B;URG.ET UHCD PED.MED. - EXT B
5141;NEUROLOGIE CHARCOT
5142;NEUROLOGIE GARCIN
540B;GAST.TRAIT.AMBU.
5406;HEPATO.GASTRO.HDJ
541A;HEPATO.GAST.UAPV
5514;RHUMATOLOGIE HOP.SEM
562A;PED.MED.HEMOD - CS
5626;PED.MED HJ DIALYSE
5656;NEURO URG
5660;REA.PEDIATRIQUE
5690;MED.A.SJ SURV.CONT.
570A;S.A.U.URGENCES MED. - EXT A
570B;S.A.URG VITALES - CS
5702;ACCUEIL ET URGENCES ANCIEN
571A;REA.MED.HEMODIALYSE - CS
572A;URGENCES ST JULIEN - EXT A
580A;S.A.U.URGENCES CHIR. - EXT A
6114;CHIR.PLAST.MAIN HDS
6116;ORTHO.TRAUMATO U32
6151;C.PED.HOP.HS.
6162;GYNECO-OBS.GYNECO HS
6171;OPHTALMO.SEM.JOUR
6184;ORL ADULTES U12 H.S
6192;ORL PED.HOP.HSAINE
6213;UROLOGIE LECAT
6286;REA SALLE REVEIL 7EM
6287;REA S REVEIL 2E DER
6450;ORTHO.TRAUMATO.SJ
6500;CHIR.AMBULATOIRE
6622;CMF FEDERATION
6836;PED.MED.ALI.ENTERALE
6840;HEMATO.PED.GREFFE
685A;TRANSPLANT
7BEL;SSR DU BELVÉDÈRE - POUPONNIÈRE
7127;CONVALESC.GERIAT.LS
7128;UNITE DE TRANSITION
7131;GERIAT.MOYEN SEJ. LS
8001;URGENCES CS HCN
8006;URGENCES CS CHIR.
801A;C.PED.URG (U)
8011;COVID 19 URGENCE HCN
802A;ORL PED. URG.
805A;GYN-OBS. URG
809A;CONSULTATIONS M.R.T - CS
815A;PED.MED.URG MED (U)
8200;CONS. PR AUGUSTIN
8206;NEURO.CS URGENCES
8280;ANATOMOPATHOLOGIE CS
8310;CS REEDUCATION FONCT
8330;CONS. NEURO BG
8470;EHPAD BOUCICAUT CONS
8500;REA.CHIR.CS
8515;S.S.R.CONSULTATION
8700;C.VASC.THOR.CS
8762;ORL FEDERATION CS
878A;OPHTALMOLOGIE CS EXT A
8804;CMF FEDERATION CS
8850;ORTHO.TRAUMATO.CS 4
8890;C.A.M.S.P ANCIEN
894A;RECHERCHE CIC - 8947
8942;RETROCESSIONS BG
8945;SEVRAGE TABAGIQUE
I003;BRES TELEM GUYAN 12
I004;LABO VIROLOG ESTHER
I006;HOPIT BERTOUA ESTHER
I008;CHINE XI AN
I009;BRESIL UNIFOR DGOS15
I011;LEONARDO HOP VIRTUEL
I012;INTERR GERODONTODIAB
I014;SOINS PALL SHENCHEN
I015;COOP MC GIL DRH QUEB
I016;BURKINA DGOS 15 16
I018;FORMATION FORMATEURS
I019;HCN PROJET UROLOGIE
I020;TUNISIE MOBIL AGENTS
I021;MOBILITE DES AGENTS
I023;BRESIL APCHI 16
I024;QUEBEC LEAN APCHI 16
I025;QUEBEC SOINS IDE 16
I026;TUNISIE APCHI 2016
I027;COOPERATION ISRAEL
RE06;DOSSIER 2010/154 CS
RE07;PROJET 2010/155 AP
RE08;PROJET 2009/191 CS
RN59;PNDS 2009/138/CS
RN60;PNDS 2011/207/CS
RO53;PROTOCO 2020/0365/OB
RT75;PROGRAM 2022/0327/CS
RW07;PROJET 2018/0364/CS
RX26;PROJET 2018/021/AP
RX27;PROJET 2018/028/CS
R866;RECH.PLAN CANCER DRC
0110;BIO-NETTOYAGE OISSEL
1011;DOTATION NON AFFECTE
1098;ECART D'INVENTAIRE
1112;FONDS DE SOLIDARITE
1147;REMPLAC.SECRET.CD
1164;CESS. PROGR ACTIVITE
1165;PERS. ROULANT DSI
1166;PERS.ROULANT STJULIE
1167;PERS. ROULANT BG
1174;MAGASIN OISSEL
1179;RESERVE MAT DECLASSE
1190;DEPENSE INFORM.DSIIT
1205;SCES GENE. BOUCICAUT
1206;ADM.TECH.LG.SEJ OISS
1225;SERV. MAL. BOUCICAUT
1230;COGETEL
1235;CIRCUITS INFORM BOUC
1241;DEPENSES INDIFF HCN
1243;DEPENSES INDIFF BG
1244;DEPENSES INDIFF OISS
1245;SERV DIVERS BOUCICAU
1250;TRAVAUX CHU
1274;GARDIENNAGE OISSEL
1275;GARDIEN. BOUCICAUT
1280;PARKING MARTAINVILLE
1315;CHAUFFERIE BOUCICAUT
1316;CHAUFF. ECOLE INF.
1345;EAU.GAZ.ELECTRICITE
1350;TRANSPORTS
1352;TRANSPORTS MAGASINS
1400;CARSP
1413;CHAUFF ENERGIE BLAN
1425;LINGERIE BOUCICAUT
1427;DESINFECTION
1511;GASTROENTER.CX ROUGE
1512;NEPHROLOGIE CX ROUGE
1513;DIALYSE CX ROUGE
1527;PER.TRANSVERSAL DIET
1528;AUTRES PERS.REEDUCAT
1530;UCP ALIMENT ECOLE
1531;NEPHRO.ANNEXE DIET.
1535;UCP ALIMENT. ARCADIE
1536;UCP ALIMENT. BETHEL
1537;UCP ALIMENT. SMUR
1538;REMPLACEMENT UCP
1544;INTERNAT OISSEL
1560;SERV. ADM.UCP
1564;LOG.TRANSPORT UCP
1567;FAB.FROIDES/DIETETI.
1569;FAB.PATISSERIE/TRAI.
1570;ECOLE VILLE DE ROUEN
1576;DEC.CONDT PLATS CUI.
1578;SERVICE QUALITE UCP
1579;SERV.TRAIT.RECP.UCP
1591;CUIS RELAIS HOSTREA
1592;SELF HOSTREA
1600;CTRE FORM. PARAMEDIC
1611;ENSEIGT INFIRMIERES
1612;ENCADRT INFIRMIERES
1613;GEST PERS INFIRMIER.
1621;ENSEIGT SAGES FEMMES
1622;ENCADRT SAGES FEMMES
1623;GES PER SAGES FEMMES
1631;ENSEIGT MASSEURS
1632;ENCADRT MASSEURS
1633;GEST PERS MASSEURS
1640;ECOLE LABORANTINES
1641;ENSEIGT LABORANTINES
1642;ENCADRT LABORANTINES
1643;GES PER LABORANTINES
1644;PROMO LABORANTINES
1651;ENSGT PUERICULTRICES
1652;ENCDRT PUER ET AUXI
1653;GES PER PUER. & AUXI
1661;ENSEIGNT AIDE ANESTH
1662;ENCADRT AIDE ANESTHE
1663;GES PER AIDE ANESTHE
1670;ECOLE AS & Aux. Puer
1671;ENSEIGT AIDES SOIGNA
1672;ENCADRT AIDES SOIGNA
1673;GES PER AIDES SOIGNA
1691;ENSEIGNANTS CADRES
1692;ENCADREMENT CADRES
1693;GEST.PERS.CADRES
1711;ENSEIGNT RADIOLOGIE
1712;ENCADREMT RADIOLOGIE
1713;GES PER RADIOLOGIE
1720;ECOLE AMBULANCIERS
1721;ENSEIGT ELEC ENCEPHA
1722;ENCADRT ELEC ENCEPHA
1723;GES PRS ELEC ENCEPHA
1724;PROMO ELECT ENCEPHAL
1751;SOINS INF.ST JULIEN
1756;DIR.DES SOINS BG
1757;DIR.DES SOINS SJ
1763;S.I.C.S.NUIT BG
1768;S.I.C.S.NUIT SJ
1927;UF GENE GERI BUD B
2111;SAMU
2114;SMUR
2116;SMUR ST JULIEN
2140;ANESTHESIOLOGIE HD
2202;EXAMEN COMPLEMENT.CA
2203;EXAM.COMPL.CARDIO.
2258;EXPLO DIGEST POLICL.
2314;DPT PHARM.ST JULIEN
2315;PHARMACIE BOUCICAUT
2431;HEMATO.HEMOSTASE CEL
2434;HEMATO.CYTOLOGIQUE
2435;HEMATO.GLOB.ROUGE RH
2436;HEMATO.CULTURE CELL.
2437;HEMATO.TYPAGE HEMO.
2439;HEMATO.CYTO.SPECIAL.
2442;MICROBIO.VACCINATION
2443;MICROBIO.RETROVIRUS
2455;CREBIOP
2456;LAB.ANATO.PATHO B
2473;MICROBIO.HYG.HOSP.BG
2512;RADIO.CENTRALE HD
2523;IMAG.MED.BG VASCUL.
2524;DPT IMAG.BG IRM 1
2543;IMAG.MED.BCQ IRM 1
2544;DPT IMAG.EXT.IRM 1
2561;DPT IMAG.PED.IRM 1
2614;CHIR.TH/BLOC VASC.TH
2679;ANESTH LOC SALLE HYB
2693;PHARM.STERIL.BG
2820;CHIR.VASC.THOR.KINE
2840;NEUROCHIR.KINESI.
2942;SALLE POLYV PEDIATR
5111;CLIN.THERAPEUT. UN A
5112;CLIN.THERAPEUT. UN A
5113;CLIN.THERAPEUT. UN B
5115;CLIN.THERAPEUT.HJ
5123;DPT MED.INT.DIABETO.
5137;DIABETO.HOSP.SEMAINE
5140;NEUROLOGIE BG
5310;CARSP
5582;REEDUCATION FONCTION
5597;SALLE GRANCHER II
5615;NOURRISSONS PR TRON
5625;NOURRISSONS
5655;UN. NEUROPSYCHOLOGIE
6102;CHIR.VASC.THOR. U20
6120;CHIRURGIE THORACIQUE
6138;CHIR ORTHO ET TRAUMA
6165;ECHO GYNECO OBSTETR.
6173;OPHTALMO.SECTEUR2
6174;OPHTALMO.SECT.ENFANT
6195;HOP JOUR CHIR/ORL PE
6198;ORL PED.C2 EST REA
6205;NEUROCHIR.UNITE 64
6601;LOCA TRANSV CHIR TEC
6632;FED ONCO TEC - STOM
6825;DPT MED.INT.INSUL.
7101;MR BOUCICAUT BUDG.H
7113;BOUCICAUT DDASS NON
7115;MR BOUCICAUT ARCADIE
7140;HOPITAL DE OISSEL
7142;UNITE A1
7143;UNITE A2/A3
7155;LONG SEJOUR OISSEL
7170;HOP JOUR MOY SEJ OIS
7171;UNITE B1
7172;UNITE B2
7173;UNITE B3
7174;UNITE B4
8100;CONS. PR BOURREILLE
8120;CLIN.THERAPEUT. CS
8175;CONSUL. CARDIOLOGIE
8195;REA.PEDIATRIQUE CS
8324;CS MEDECINE DU SPORT
8326;CS CHIR.POLICLINIQUE
8328;CS GERONTOLOGIE
8329;CS HYGIENE ALIMENTA.
8401;CS DOULEUR ST JULIEN
8402;MED.A SJ CS
8403;MED.A.ST JULIEN CS
8411;GERIAT.AIGUE SJ CS
8455;PLATEFORME DE REPIT
8506;CS ANEST.ST JULIEN
8520;CONS. GERIATRIE B
8602;CS RHUMATO.ST JULIEN
8720;ORTHO.TRAUMATO.CS SJ
8740;CS PR BORDE
8783;CONSULT.OPHTALMO.BG
8795;CONS. PR TADIE
8801;STOMATO.CS OISSEL
8802;STOMATO.CS BG
8811;CONS. PR LEMOINE
8903;CONS. POLYVAL. BG
9020;GEST.STOCK LINGERIE
9030;STOCK STERILISATION
9035;GEST.STOCK PT EQUIP.
9055;IMPRIMES PERSONNAL.
9070;GEST.STOCK IMPRIMES
9080;BONI/MALI PH.STJULIE
9081;BONI/MALI SERV.TECH.
